Codigo_municipio;Municipios;Temp_min_invierno;Prec_max_invierno;Calidad_vida_media;Poblacion_total;Renta_media;Total_paro_registrado;Paro_hombre_menor_25;Paro_hombre_25_45;Paro_hombre_45+;Paro_mujer_menor_25;Paro_mujer_25_45;Paro_mujer_45+;Paro_agricultura;Paro_industria;Paro_construccion;Paro_servicios;demanda_raw;demanda_score;Demanda
46001;Ademuz;0.8;76.6;0.5758872242744002;1015.0;12544.0;71.0;6.0;9.0;20.0;3.0;17.0;15.0;3.0;8.0;8.0;47.0;0.5196777127666758;0.6826930807837102;4
46002;Ador;0.8;76.6;0.6742105994867315;1755.0;13447.0;80.0;3.0;10.0;21.0;3.0;16.0;31.0;3.0;11.0;8.0;59.0;0.5087367622610515;0.6480866144626286;4
46003;Atzeneta;0.8;76.6;0.5784616364033883;1193.0;12812.0;70.0;3.0;6.0;17.0;3.0;10.0;32.0;0.0;25.0;3.0;40.0;0.5146395136569504;0.6667571465410693;4
46004;Agullent;0.8;76.6;0.5934530842870244;2438.0;12589.0;134.0;3.0;13.0;30.0;0.0;17.0;72.0;3.0;45.0;3.0;81.0;0.52833543561071;0.7100776479531992;4
46005;Alaquàs;0.8;76.6;0.5761145715360012;30166.0;12930.0;2247.0;102.0;285.0;432.0;77.0;457.0;894.0;23.0;316.0;139.0;1553.0;0.5756548836525137;0.8597500995513523;5
46006;Albaida;0.8;76.6;0.5811069393062017;6322.0;12789.0;384.0;13.0;44.0;77.0;7.0;77.0;166.0;3.0;108.0;15.0;230.0;0.544714681324058;0.7618855612466842;4
46007;Albal;0.8;76.6;0.6032876892577375;17365.0;13249.0;1158.0;53.0;145.0;240.0;32.0;233.0;455.0;21.0;225.0;50.0;801.0;0.5592161254932856;0.8077539470867846;5
46008;Albalat;0.8;76.6;0.6157908466157145;3523.0;12616.0;172.0;3.0;21.0;37.0;6.0;47.0;57.0;3.0;33.0;11.0;108.0;0.5319341686510816;0.7214605194593048;4
46009;Albalat;0.8;76.6;0.7246953749787703;4368.0;15015.0;178.0;8.0;24.0;32.0;3.0;44.0;66.0;3.0;25.0;7.0;137.0;0.5071118046883668;0.6429468380343017;4
46010;Albalat;0.8;76.6;0.7148880335835571;1574.0;15439.0;80.0;3.0;5.0;21.0;3.0;18.0;30.0;0.0;9.0;6.0;63.0;0.4897526263956892;0.588039376508141;3
46011;Alberic;0.8;76.6;0.5951471595793038;11099.0;12070.0;580.0;18.0;75.0;103.0;22.0;160.0;202.0;48.0;73.0;41.0;362.0;0.5604142209404446;0.8115435492534551;5
46012;Alborache;0.8;76.6;0.6994398720623912;1568.0;14152.0;72.0;3.0;3.0;15.0;3.0;24.0;23.0;3.0;6.0;3.0;56.0;0.49950397050504697;0.6188830917166406;4
46013;Alboraia/Alboraya;0.8;76.6;0.7558503937723401;26273.0;17240.0;1043.0;41.0;137.0;256.0;37.0;164.0;408.0;8.0;146.0;60.0;771.0;0.5206690873121623;0.6858288202061963;4
46014;Albuixech;0.8;76.6;0.6867364060171356;4482.0;14623.0;222.0;6.0;35.0;50.0;8.0;44.0;79.0;3.0;32.0;14.0;164.0;0.5146422982127816;0.6667659541522128;4
46015;Alcàsser;-2.0;76.6;0.6480194485463662;10772.0;13616.0;537.0;21.0;68.0;114.0;14.0;133.0;187.0;14.0;76.0;40.0;366.0;0.5681184569470883;0.8359122166518244;5
46016;Alcàntera;0.8;76.6;0.6562489194883243;1468.0;12234.0;58.0;3.0;10.0;17.0;3.0;15.0;11.0;5.0;3.0;6.0;41.0;0.5179516864286794;0.6772336216348485;4
46017;Alzira;0.8;76.6;0.6090547149584833;48236.0;13445.0;2890.0;119.0;373.0;566.0;114.0;669.0;1049.0;120.0;446.0;145.0;1919.0;0.5720545381147939;0.8483621276807815;5
46018;Alcublas;0.8;76.6;0.6913766151763372;710.0;12376.0;31.0;0.0;3.0;9.0;0.0;5.0;13.0;3.0;3.0;0.0;26.0;0.5051182254607308;0.6366411032296222;4
46019;Alcúdia,;0.8;76.6;0.6518209088307981;12587.0;13681.0;496.0;25.0;67.0;106.0;23.0;142.0;133.0;50.0;75.0;25.0;304.0;0.537947327860149;0.7404802738714027;4
46020;Alcúdia;0.8;76.6;0.5950310491101053;5548.0;12150.0;345.0;9.0;29.0;79.0;8.0;67.0;153.0;8.0;61.0;27.0;238.0;0.5512483400006254;0.7825516668860286;4
46021;Aldaia;0.8;76.6;0.5858483515254395;34630.0;12813.0;2304.0;89.0;286.0;490.0;90.0;514.0;835.0;22.0;354.0;166.0;1546.0;0.5762823327630204;0.8617347348442165;5
46022;Alfafar;0.8;76.6;0.5635720444677211;22270.0;11842.0;1732.0;47.0;224.0;401.0;55.0;374.0;631.0;15.0;230.0;110.0;1273.0;0.5859083142200487;0.8921819252349198;5
46023;Alfauir;0.8;76.6;0.714324213165313;515.0;13843.0;22.0;0.0;3.0;10.0;3.0;3.0;6.0;0.0;3.0;0.0;18.0;0.48203702097731416;0.5636347474112002;3
46024;Alfara;0.8;76.6;0.6666766382060313;624.0;13045.0;37.0;3.0;3.0;7.0;3.0;8.0;14.0;0.0;3.0;3.0;31.0;0.5008407788364837;0.6231114457774533;4
46025;Alfara;0.8;76.6;0.6994416516704263;3740.0;14463.0;133.0;8.0;13.0;35.0;7.0;29.0;41.0;3.0;16.0;12.0;91.0;0.5074233598587135;0.6439322938687119;4
46026;Alfarb;0.8;76.6;0.6684799436350388;1763.0;13795.0;53.0;3.0;11.0;10.0;3.0;12.0;14.0;3.0;10.0;5.0;31.0;0.4988551151918792;0.6168307481354451;4
46027;Alfarrasí;0.8;76.6;0.6485369447706599;1173.0;13734.0;49.0;3.0;8.0;9.0;3.0;11.0;19.0;3.0;14.0;3.0;30.0;0.4971052117322464;0.6112957651273605;4
46028;Algar;0.8;76.6;0.6768463496315651;565.0;15075.0;26.0;3.0;5.0;7.0;3.0;3.0;8.0;0.0;3.0;3.0;17.0;0.4731590009750474;0.5355533755003782;3
46029;Algemesí;0.8;76.6;0.609713750585587;28306.0;13257.0;1443.0;67.0;202.0;292.0;73.0;366.0;443.0;80.0;276.0;92.0;865.0;0.5613302711897923;0.8144410362758279;5
46030;Algímia;0.8;76.6;0.6961024301307926;1115.0;14109.0;49.0;3.0;3.0;10.0;3.0;13.0;19.0;3.0;3.0;3.0;37.0;0.4932229607113981;0.5990161200330969;3
46031;Alginet;0.8;76.6;0.6489323379428651;14844.0;13188.0;671.0;27.0;105.0;134.0;23.0;178.0;204.0;27.0;95.0;35.0;454.0;0.5485964354041525;0.7741636345064485;4
46032;Almàssera;0.8;76.6;0.6678867039761194;7887.0;14815.0;429.0;14.0;50.0;86.0;17.0;94.0;168.0;8.0;69.0;31.0;303.0;0.5246321083298667;0.6983639425713348;4
46033;Almiserà;0.8;76.6;0.6665305531231693;278.0;12798.0;14.0;3.0;3.0;6.0;0.0;3.0;3.0;3.0;3.0;0.0;11.0;0.48618009460660283;0.5767393801342926;3
46034;Almoines;0.8;76.6;0.6560077647956539;2664.0;12571.0;147.0;10.0;26.0;34.0;3.0;34.0;40.0;3.0;15.0;10.0;118.0;0.5301897737215309;0.71594296005264;4
46035;Almussafes;0.8;76.6;0.6815935815013794;9070.0;15900.0;474.0;14.0;64.0;113.0;10.0;95.0;178.0;5.0;117.0;13.0;318.0;0.5169945343869964;0.6742061287421944;4
46036;Alpuente;-2.0;76.6;0.6923115488789635;688.0;13321.0;17.0;0.0;3.0;5.0;0.0;3.0;6.0;0.0;3.0;3.0;11.0;0.5135261369222309;0.6632355115192367;4
46037;Alqueria;0.8;76.6;0.6564993275136561;1547.0;13197.0;94.0;3.0;15.0;26.0;0.0;19.0;30.0;0.0;7.0;9.0;76.0;0.515434313810857;0.6692711168532485;4
46038;Andilla;0.8;76.6;0.6724218573349412;338.0;16512.0;19.0;0.0;5.0;6.0;3.0;3.0;6.0;3.0;3.0;3.0;12.0;0.45676590611944984;0.48370165706632634;3
46039;Anna;0.8;76.6;0.6495207730522818;2600.0;12848.0;105.0;3.0;18.0;30.0;3.0;17.0;36.0;5.0;19.0;10.0;69.0;0.5204190316293414;0.6850378885991584;4
46040;Antella;0.8;76.6;0.7047107168128229;1130.0;13577.0;38.0;3.0;9.0;8.0;3.0;7.0;11.0;3.0;3.0;3.0;28.0;0.49488241243672004;0.6042650022224727;4
46041;Aras;0.8;76.6;0.7053158335731279;401.0;13394.0;9.0;0.0;3.0;3.0;3.0;3.0;0.0;0.0;3.0;3.0;6.0;0.4744239223240746;0.5395543494597637;3
46042;Aielo;0.8;76.6;0.6202526262616899;4624.0;12935.0;160.0;6.0;17.0;37.0;5.0;31.0;64.0;12.0;54.0;7.0;83.0;0.527060793562963;0.7060459272106445;4
46043;Aielo;0.8;76.6;0.9166334101140101;160.0;18555.0;3.0;0.0;3.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;0.41545245761936017;0.35302631369546245;2
46044;Ayora;0.8;76.6;0.6224452016310407;5282.0;12901.0;329.0;9.0;36.0;53.0;17.0;73.0;141.0;12.0;47.0;17.0;241.0;0.5408534829859575;0.7496725062495155;4
46045;Barxeta;0.8;76.6;0.7087351002215949;1578.0;13155.0;49.0;3.0;7.0;9.0;3.0;13.0;17.0;3.0;6.0;5.0;37.0;0.5043785131181712;0.6343013768724908;4
46046;Barx;0.8;76.6;0.6903578724338348;1501.0;14546.0;66.0;3.0;8.0;24.0;3.0;12.0;18.0;5.0;3.0;11.0;47.0;0.4941383461167605;0.6019115041393679;4
46047;Bèlgida;0.8;76.6;0.5553040804473566;651.0;12121.0;32.0;3.0;3.0;8.0;3.0;8.0;11.0;3.0;11.0;3.0;15.0;0.5092081854649957;0.6495777363922896;4
46048;Bellreguard;0.8;76.6;0.6844193887095925;5032.0;13207.0;274.0;14.0;28.0;70.0;9.0;54.0;99.0;5.0;14.0;19.0;233.0;0.5332850745889046;0.7257334645581963;4
46049;Bellús;0.8;76.6;0.581439819584399;317.0;12041.0;18.0;3.0;3.0;5.0;3.0;3.0;6.0;0.0;3.0;3.0;11.0;0.5008544654418893;0.6231547368104192;4
46050;Benagéber;0.8;76.6;0.8656945576749115;176.0;15598.0;3.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;3.0;0.436860255398295;0.42073964741947373;3
46051;Benaguasil;0.8;76.6;0.5917493397307126;12668.0;12636.0;815.0;27.0;104.0;194.0;29.0;184.0;277.0;18.0;135.0;80.0;547.0;0.5601203914928405;0.8106141602687025;5
46052;Benavites;0.8;76.6;0.7286863387434604;652.0;13395.0;18.0;0.0;6.0;3.0;0.0;3.0;7.0;0.0;3.0;3.0;14.0;0.4849222924368747;0.5727609242951126;3
46053;Beneixida;0.8;76.6;0.7551619873828493;659.0;15662.0;23.0;0.0;5.0;5.0;3.0;7.0;5.0;3.0;3.0;3.0;18.0;0.46641357492066077;0.5142174450021573;3
46054;Benetússer;0.8;76.6;0.6038560235370922;16734.0;12553.0;1113.0;33.0;157.0;218.0;30.0;231.0;444.0;11.0;145.0;65.0;815.0;0.5668729726057735;0.8319727223739746;5
46055;Beniarjó;0.8;76.6;0.6527689360932335;1964.0;12779.0;101.0;6.0;10.0;29.0;3.0;17.0;35.0;3.0;13.0;11.0;76.0;0.5208026930215771;0.686251417994276;4
46056;Beniatjar;0.8;76.6;0.655723297760169;209.0;13340.0;9.0;0.0;3.0;3.0;0.0;3.0;3.0;3.0;3.0;0.0;6.0;0.47195576930847666;0.5317475273591008;3
46057;Benicolet;0.8;76.6;0.7182892445527015;610.0;12490.0;11.0;0.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;8.0;0.4907544106365147;0.5912080420252089;3
46058;Benifairó;0.8;76.6;0.6708136870669569;2359.0;12789.0;87.0;5.0;18.0;12.0;3.0;25.0;25.0;3.0;10.0;5.0;61.0;0.5180455240380886;0.6775304320507259;4
46059;Benifairó;0.8;76.6;0.718744216981443;1588.0;15321.0;52.0;3.0;9.0;13.0;3.0;7.0;17.0;5.0;5.0;3.0;35.0;0.4836720386980259;0.5688063443082975;3
46060;Benifaió;0.8;76.6;0.6236979380414592;12262.0;14465.0;674.0;22.0;81.0;163.0;20.0;142.0;246.0;14.0;153.0;46.0;401.0;0.5357938548662949;0.7336687915786294;4
46061;Beniflá;0.8;76.6;0.6661949191532398;505.0;12559.0;33.0;0.0;3.0;3.0;3.0;6.0;19.0;0.0;3.0;3.0;30.0;0.5055186167845241;0.6379075497650474;4
46062;Benigànim;0.8;76.6;0.6226186442748654;5759.0;12661.0;270.0;9.0;30.0;68.0;6.0;47.0;110.0;8.0;65.0;10.0;171.0;0.5391325444909469;0.7442291400595652;4
46063;Benimodo;-2.0;76.6;0.6774022070356639;2332.0;13301.0;78.0;5.0;11.0;13.0;3.0;19.0;26.0;3.0;8.0;5.0;52.0;0.5384528498379385;0.7420792509703253;4
46064;Benimuslem;0.8;76.6;0.6139216563977774;674.0;12479.0;44.0;3.0;3.0;8.0;3.0;13.0;19.0;3.0;7.0;3.0;33.0;0.5115284078492676;0.6569166506628045;4
46065;Beniparrell;0.8;76.6;0.6561133635055475;2108.0;14835.0;127.0;8.0;13.0;31.0;7.0;23.0;45.0;3.0;17.0;11.0;90.0;0.5038698087622213;0.6326923338416759;4
46066;Benirredrà;0.8;76.6;0.7875479964470794;1576.0;16284.0;58.0;0.0;11.0;11.0;3.0;11.0;23.0;3.0;3.0;3.0;50.0;0.47744300666810646;0.5491037794310019;3
46067;Benissanó;0.8;76.6;0.6185419545502836;2449.0;13316.0;156.0;6.0;18.0;37.0;3.0;32.0;61.0;3.0;17.0;18.0;110.0;0.5232345929034037;0.6939435706379984;4
46068;Benissoda;0.8;76.6;0.6338913552349474;494.0;13240.0;18.0;0.0;3.0;3.0;0.0;3.0;9.0;0.0;8.0;0.0;10.0;0.4853813785550598;0.5742130237520366;3
46069;Benissuera;0.8;76.6;0.5843758638634243;196.0;14238.0;8.0;0.0;3.0;3.0;0.0;3.0;3.0;0.0;3.0;3.0;3.0;0.46048594048434355;0.4954682073213322;3
46070;Bétera;0.8;76.6;0.7689726088232607;28560.0;17430.0;1243.0;47.0;160.0;281.0;40.0;209.0;506.0;19.0;112.0;98.0;993.0;0.5223839847675458;0.691253078455361;4
46071;Bicorp;0.8;76.6;0.5742661044863437;546.0;12040.0;45.0;0.0;12.0;6.0;0.0;12.0;15.0;3.0;3.0;3.0;35.0;0.5205676954858538;0.6855081156366458;4
46072;Bocairent;0.8;117.4;0.6499146857221916;4130.0;14321.0;187.0;3.0;22.0;51.0;3.0;28.0;80.0;3.0;48.0;16.0;114.0;0.5144044342330414;0.6660135851693125;4
46073;Bolbaite;0.8;76.6;0.5962702639228143;1320.0;11939.0;77.0;3.0;9.0;18.0;6.0;9.0;33.0;5.0;12.0;5.0;52.0;0.5276745081877321;0.7079871200240029;4
46074;Bonrepòs;0.8;76.6;0.6653455140519086;4115.0;13497.0;209.0;7.0;31.0;45.0;8.0;36.0;82.0;3.0;30.0;13.0;156.0;0.5250717882338191;0.6997546597471744;4
46075;Bufali;0.8;76.6;0.8105569444134937;162.0;12818.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;3.0;0.4638185899831835;0.5060094507518993;3
46076;Bugarra;0.8;76.6;0.6963755363906803;774.0;13633.0;20.0;3.0;3.0;7.0;0.0;6.0;3.0;3.0;0.0;3.0;13.0;0.4845884091104753;0.5717048440135803;3
46077;Buñol;0.8;76.6;0.6340242487220188;9858.0;13525.0;530.0;13.0;66.0;125.0;14.0;109.0;203.0;6.0;111.0;31.0;356.0;0.541131235736021;0.7505510442874783;4
46078;Burjassot;-2.0;76.6;0.584260016722148;41299.0;12111.0;3120.0;139.0;471.0;641.0;126.0;713.0;1030.0;34.0;295.0;251.0;2430.0;0.6199953605157245;1.0;5
46079;Calles;0.8;76.6;0.604118478513245;465.0;13720.0;40.0;3.0;3.0;12.0;0.0;8.0;14.0;0.0;3.0;3.0;32.0;0.4988793150183224;0.6169072927170473;4
46080;Camporrobles;0.8;76.6;0.6288207768521366;1183.0;11909.0;54.0;3.0;3.0;10.0;3.0;16.0;23.0;7.0;3.0;5.0;37.0;0.5211182674816986;0.687249586930364;4
46081;Canals;0.8;76.6;0.5511629507037881;13746.0;11984.0;939.0;22.0;90.0;202.0;17.0;160.0;448.0;31.0;219.0;65.0;575.0;0.5717405516909767;0.8473689817383407;5
46082;Canet;0.8;76.6;0.7670686206012322;8297.0;16891.0;283.0;12.0;37.0;60.0;9.0;65.0;100.0;3.0;22.0;15.0;211.0;0.500806581050955;0.6230032774320662;4
46083;Carcaixent;0.8;76.6;0.6074567795422482;21934.0;12600.0;1221.0;47.0;161.0;218.0;46.0;297.0;452.0;46.0;181.0;76.0;809.0;0.5666416726967168;0.8312411156905585;5
46084;Càrcer;0.8;117.4;0.6534499080429729;1795.0;12847.0;73.0;3.0;9.0;11.0;3.0;23.0;24.0;6.0;10.0;3.0;49.0;0.5141083560780239;0.6650770834737099;4
46085;Carlet;0.8;76.6;0.5983868410389005;16857.0;12565.0;894.0;41.0;128.0;171.0;42.0;251.0;261.0;90.0;106.0;37.0;549.0;0.5614572545911671;0.8148426875583884;5
46086;Carrícola;0.8;76.6;0.5430875846671247;97.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;0.3038420033912684;0.0;1
46087;Casas;0.8;76.6;0.560409409678365;118.0;12068.0;6.0;3.0;0.0;3.0;0.0;3.0;3.0;0.0;3.0;0.0;3.0;0.48094180726089164;0.5601705624144507;3
46088;Casas;0.8;76.6;0.6172956615755044;158.0;12032.0;11.0;0.0;3.0;3.0;0.0;3.0;5.0;0.0;3.0;0.0;9.0;0.49401778899931886;0.6015301793337795;4
46089;Casinos;0.8;76.6;0.6372096812376684;3153.0;12972.0;178.0;6.0;19.0;41.0;8.0;35.0;69.0;5.0;26.0;13.0;130.0;0.5287088571162935;0.7112587883623345;4
46090;Castelló;-2.0;76.6;0.6892283805424301;2345.0;12008.0;63.0;3.0;8.0;9.0;0.0;13.0;29.0;3.0;14.0;0.0;46.0;0.5521076121190402;0.7852695634354447;4
46091;Castellonet;0.8;76.6;0.7120319925550788;159.0;16176.0;12.0;0.0;3.0;3.0;0.0;3.0;3.0;0.0;0.0;3.0;11.0;0.4538845246533138;0.47458778431690063;3
46092;Castielfabib;0.8;76.6;0.6303837209647041;284.0;11948.0;14.0;3.0;0.0;5.0;0.0;3.0;3.0;0.0;3.0;3.0;10.0;0.4972430756003066;0.6117318315645925;4
46093;Catadau;0.8;76.6;0.6478656086770518;3005.0;12991.0;118.0;7.0;16.0;31.0;3.0;26.0;34.0;7.0;22.0;8.0;75.0;0.5207736703055383;0.686159618507145;4
46094;Catarroja;0.8;76.6;0.6093403050018307;30604.0;13260.0;2026.0;63.0;250.0;421.0;64.0;459.0;769.0;26.0;296.0;126.0;1446.0;0.5687408889927863;0.8378809828587034;5
46095;Caudete;0.8;76.6;0.6331381956837095;725.0;11940.0;34.0;3.0;8.0;7.0;3.0;7.0;8.0;3.0;6.0;0.0;24.0;0.5126763285571851;0.6605475490292124;4
46096;Cerdà;0.8;76.6;0.5799472232855845;370.0;12030.0;24.0;0.0;8.0;3.0;0.0;5.0;7.0;0.0;3.0;3.0;16.0;0.50692505397762;0.6423561414418462;4
46097;Cofrentes;0.8;76.6;0.8336792716300808;1113.0;16606.0;24.0;0.0;3.0;6.0;3.0;3.0;11.0;0.0;3.0;3.0;21.0;0.46292353926118057;0.5031783856949164;3
46098;Corbera;0.8;76.6;0.6537668482912136;3266.0;12691.0;148.0;8.0;14.0;33.0;10.0;35.0;48.0;3.0;25.0;3.0;106.0;0.5282787897362231;0.7098984758102808;4
46099;Cortes;0.8;76.6;0.7508783659009375;727.0;15837.0;28.0;3.0;3.0;8.0;3.0;3.0;11.0;3.0;3.0;3.0;22.0;0.46815369776951776;0.5197214917239259;3
46100;Cotes;0.8;76.6;0.824427725095182;314.0;14044.0;7.0;0.0;0.0;0.0;0.0;3.0;5.0;0.0;0.0;0.0;7.0;0.46320395329825675;0.504065341442047;3
46101;Quart;0.8;76.6;0.7299937577295736;1029.0;13654.0;40.0;3.0;5.0;5.0;0.0;15.0;14.0;0.0;3.0;3.0;34.0;0.49452291455591973;0.6031279025437912;4
46102;Quart;0.8;76.6;0.619954191299838;26967.0;13132.0;1790.0;64.0;223.0;362.0;52.0;368.0;721.0;9.0;220.0;117.0;1349.0;0.5680840009700941;0.8358032316411714;5
46103;Quartell;0.8;76.6;0.7466998795016545;1810.0;15024.0;50.0;3.0;3.0;6.0;0.0;15.0;22.0;0.0;3.0;7.0;37.0;0.4864772075397459;0.577679154855793;3
46104;Quatretonda;0.8;76.6;0.711451899645682;2174.0;13703.0;81.0;3.0;13.0;11.0;3.0;25.0;29.0;3.0;9.0;3.0;63.0;0.5063472263062246;0.6405284598488025;4
46105;Cullera;0.8;76.6;0.6377307422875775;24702.0;12929.0;1357.0;41.0;188.0;325.0;42.0;246.0;515.0;34.0;151.0;87.0;996.0;0.56437421864982;0.8240691088280653;5
46106;Chelva;0.8;76.6;0.6244558203451028;1863.0;14156.0;132.0;5.0;26.0;28.0;6.0;24.0;43.0;8.0;9.0;8.0;96.0;0.5124327473211947;0.6597770962394464;4
46107;Chella;0.8;76.6;0.5952463296214424;2452.0;12201.0;158.0;3.0;21.0;44.0;3.0;32.0;55.0;6.0;13.0;18.0;111.0;0.5372766863675325;0.7383590201269657;4
46108;Chera;0.8;76.6;0.5749912214581672;508.0;13377.0;34.0;6.0;10.0;8.0;0.0;3.0;7.0;5.0;5.0;3.0;20.0;0.49651655562665015;0.6094338329595343;4
46109;Cheste;0.8;76.6;0.6408971641932327;8951.0;13434.0;410.0;5.0;68.0;85.0;17.0;103.0;132.0;20.0;56.0;37.0;262.0;0.5372728237868457;0.7383468026995695;4
46110;Xirivella;0.8;76.6;0.5754441851289086;32093.0;11830.0;2056.0;97.0;299.0;445.0;74.0;421.0;720.0;32.0;284.0;154.0;1389.0;0.58694364598346;0.8954567023014297;5
46111;Chiva;0.8;76.6;0.6857440151609014;17951.0;15381.0;864.0;32.0;114.0;171.0;29.0;196.0;322.0;23.0;142.0;38.0;594.0;0.5314465123942278;0.7199180520273939;4
46112;Chulilla;0.8;76.6;0.6462128104949061;710.0;14279.0;35.0;3.0;3.0;10.0;3.0;9.0;11.0;3.0;7.0;3.0;22.0;0.48583447474846003;0.5756461769455417;3
46113;Daimús;0.8;76.6;0.7254066927645995;3524.0;15478.0;163.0;7.0;30.0;37.0;3.0;23.0;63.0;3.0;24.0;7.0;128.0;0.5015987995383758;0.6255090818765496;4
46114;Domeño;0.8;76.6;0.6708219680088058;723.0;14197.0;44.0;3.0;5.0;3.0;3.0;13.0;19.0;3.0;3.0;3.0;35.0;0.49158337981730194;0.5938300897185406;3
46115;Dos;0.8;76.6;0.5524104936906138;340.0;12709.0;24.0;3.0;3.0;3.0;3.0;6.0;6.0;0.0;9.0;3.0;14.0;0.49886324456753306;0.6168564615288685;4
46116;Eliana,;0.8;76.6;0.8074960563792596;19839.0;18983.0;789.0;23.0;105.0;209.0;19.0;137.0;296.0;3.0;105.0;30.0;629.0;0.5051662760435278;0.6367930882764805;4
46117;Emperador;0.8;76.6;0.7463130891149752;700.0;15240.0;29.0;3.0;3.0;10.0;3.0;3.0;11.0;3.0;3.0;0.0;24.0;0.4736089459725238;0.5369765613920886;3
46118;Enguera;0.8;76.6;0.6124506612010325;4807.0;13123.0;295.0;8.0;38.0;65.0;7.0;46.0;131.0;12.0;48.0;20.0;201.0;0.5362266756045826;0.7350378130630898;4
46119;Énova,;0.8;76.6;0.646035985188711;952.0;12681.0;35.0;3.0;7.0;6.0;0.0;6.0;15.0;3.0;8.0;3.0;22.0;0.503567628721409;0.6317365317475253;4
46120;Estivella;0.8;76.6;0.7512318206943853;1710.0;15514.0;63.0;3.0;9.0;15.0;0.0;7.0;30.0;3.0;7.0;3.0;50.0;0.4849725044918143;0.5729197461257467;3
46121;Estubeny;0.8;76.6;0.8184341529569847;110.0;14352.0;3.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;0.4439181985383854;0.4430640763114686;3
46122;Faura;0.8;76.6;0.6853206201494677;3753.0;13288.0;145.0;3.0;20.0;28.0;3.0;34.0;58.0;3.0;18.0;6.0;106.0;0.5209411857163242;0.6866894734241051;4
46123;Favara;0.8;76.6;0.6568802949061473;2776.0;12643.0;128.0;3.0;19.0;26.0;5.0;22.0;52.0;3.0;19.0;10.0;94.0;0.526370885440325;0.7038637326930438;4
46124;Fontanars;0.8;76.6;0.6475067189259536;936.0;13696.0;37.0;3.0;6.0;5.0;0.0;7.0;16.0;3.0;3.0;3.0;22.0;0.49269103714466767;0.5973336341295199;3
46125;Fortaleny;0.8;76.6;0.6814886510372966;1024.0;14047.0;54.0;0.0;7.0;11.0;3.0;8.0;24.0;3.0;9.0;0.0;42.0;0.4958849039571992;0.6074359048805916;4
46126;Foios;0.8;76.6;0.700147212754756;7995.0;15115.0;353.0;10.0;36.0;86.0;8.0;78.0;135.0;9.0;58.0;18.0;252.0;0.5180926653934697;0.6776795411913338;4
46127;Font;0.8;76.6;0.6552741820348817;4020.0;12485.0;217.0;9.0;22.0;52.0;6.0;65.0;63.0;3.0;7.0;26.0;173.0;0.5379533126011861;0.7404992037385137;4
